2025-07-19 05:47:56 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:00 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:03 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:07 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:08 - mq5=1, mq135=0, mq2=1, mq8=1, mq3=0
2025-07-19 05:48:11 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:15 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:19 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:23 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:26 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:30 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:34 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:38 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
2025-07-19 05:48:42 - mq5=0, mq135=0, mq2=0, mq8=1, mq3=0
